Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total
20029M,ST BRIGIDS INFANT N S,Wellmount Avenue,Finglas West,Dublin 11,,Dublin,Dublin City Council,018348770,Margaret O'Reilly,stbrigidsinfantschool@eircom.net,D11F992,N,Y,N,No subjects through Irish,Catholic,120,112,232
20035H,ST GABRIELS N S,COWPER STREET,DUBLIN 7,,,Dublin,Dublin City Council,018384853,Suzanne Comerford,principal@stgabrielsns.ie,D07CX50,N,Y,N,No subjects through Irish,Catholic,46,82,128
20043G,GAELSCOIL CHNOC LIAMHNA,SEAN BHÓTHAR CHNOC LIAMHNA,BOTHAR CNOC LIAMHNA,BAILE ÁTHA CLIATH 16,,Dublin,South Dublin County Council,014939262,MAIRE NI GHALLACHOIR,runai@gaelscoilcl.com,D16HR26,N,N,N,All subjects through Irish,Catholic,118,104,222
20047O,GAELSCOIL BHARRA,Naomh Fionbarra CLG,Ascal an Fhasaigh,Cabrach,Baile Átha Cliath 7,Dublin,Dublin City Council,018684827,Seán Ó Donaile,oifig@gaelscoilbharra.net,D07CF72,N,Y,N,All subjects through Irish,Catholic,107,103,210
20048Q,GAELSCOIL LIOS NA NOG,Teach Feadha Chuileann,Bóthar Oakley,Raghnallach,Baile Átha Cliath 6,Dublin,Dublin City Council,014975300,Áine Nic an tSíthigh,eolas@gsliosnanog.ie,D06WF43,N,N,N,All subjects through Irish,Catholic,104,124,228
20052H,GAELSCOIL CHOLMCILLE,Lána na Cúlóige,Baile Átha Cliath 17,,,Dublin,Dublin City Council,018940440,Neasa Ní Aoláin,eolas@gaelscoilcholmcille.ie,D17W021,N,N,N,All subjects through Irish,Catholic,153,121,274
20056P,GAELSCOIL PHADRAIG,Ascaill Shíleann,Baile Breac,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,012827345,Roise Uí Labhraidh,gaelscoilphadraig@gmail.com,A96KF64,N,N,N,All subjects through Irish,Catholic,72,78,150
20059V,MOTHER OF DIVINE GRACE,Ferndale Avenue,Ballygall,Dublin 11,,Dublin,Dublin City Council,018344000,Eleanor Fahy,school@mdgballygall.com,D11VW68,N,Y,N,No subjects through Irish,Catholic,245,246,491
20060G,MONKSTOWN EDUCATE TOGETHER NS,Kill Avenue,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012303696,Ann Marie Kenrick,office@metns.ie,A96R528,N,N,N,No subjects through Irish,Multi Denominational,249,210,459
20064O,OUR LADY OF CONSOLATION NS,Collins Avenue East,Donnycarney,Dublin 5,,Dublin,Dublin City Council,018310721,Aoife Ní Bhreacháin,office@olocschool.ie,D05RW80,N,Y,N,No subjects through Irish,Catholic,201,86,287
20066S,LUCAN EDUCATE TOGETHER NS,Mount Bellew Way,Willsbrook,Lucan,Co. Dublin,Dublin,South Dublin County Council,016281298,Mary Tuohy,info@letns.org,K78C922,N,N,N,No subjects through Irish,Multi Denominational,202,237,439
20091R,ST PETERS NS,Saint Peter's Road,Phibsborough,Dublin 7,,Dublin,Dublin City Council,018680501,Raymond Ryan,office@stpetersns.net,D07F75C,N,Y,N,No subjects through Irish,Catholic,220,249,469
20092T,ST ULTANS NS,Cherry Orchard Avenue,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,016434599,Gary Jones,office@stultans.ie,D10NY53,N,Y,N,No subjects through Irish,Catholic,202,200,402
20095C,GAELSCOIL BHRIAN BÓROIMHE,Coill na nÚll,Sord,Co. Átha Cliath,,Dublin,Fingal County Council,018902799,Séamus Seaghach,oifig@gsbb.ie,K67T3H2,N,N,N,All subjects through Irish,Inter Denominational,224,264,488
20098I,CASTLEKNOCK EDUCATE TOGETHER NS,Beechpark Avenue,Castleknock,Dublin 15,,Dublin,Fingal County Council,018219331,Aedín Ní Thuathail,secretary@cetns.ie,D15X094,N,N,N,No subjects through Irish,Multi Denominational,189,243,432
20103V,JOHN SCOTTUS NS,47/49 Northumberland Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,016609309,Cónall Clancy,primary@johnscottus.ie,D04R128,N,N,N,No subjects through Irish,Multi Denominational,95,95,190
20104A,ST AUDOENS NS,Cook Street,Merchant's Quay,Dublin 8,,Dublin,Dublin City Council,016779856,Eilish Meagher,info@staudoens.ie,D08XP83,N,Y,N,No subjects through Irish,Catholic,80,105,185
20130B,ST PATRICKS NS,St. Patrick's National School,Diswellstown Lawn,Castleknock,Dublin 15,Dublin,Fingal County Council,018249930,Mary Power,info@stpatricksns.ie,D15PH21,N,N,N,No subjects through Irish,Catholic,384,420,804
20131D,EDUCATE TOGETHER NS,Fitzwilliam Place North,Grangegorman Lower,Dublin 7,,Dublin,Dublin City Council,018943111,Fionnuala McHugh,Secretary@d7educatetogether.com,D07PY50,N,N,N,No subjects through Irish,Multi Denominational,216,254,470
20137P,MARY MOTHER OF HOPE SENIOR NS,Littlepace,Castaheany,Dublin 15,,Dublin,Fingal County Council,018128693,Enda McGorman,hopens@eircom.net,D15TA49,N,N,N,No subjects through Irish,Catholic,192,254,446
20139T,INCHICORE NS,Sarsfield Road,Inchicore,Dublin 10,,Dublin,Dublin City Council,014536505,Breda McEvoy,inchicorens@gmail.com,D10V963,N,Y,N,No subjects through Irish,Catholic,106,102,208
20141G,THE HAROLD SCHOOL,Eden Road,Glasthule,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012805708,Dervla Nic Mhathúna,admin@haroldschool.ie,A96X043,N,N,N,No subjects through Irish,Catholic,351,326,677
20145O,SWORDS EDUCATE TOGETHER NS,Applewood,Swords,Co. Dublin,,Dublin,Fingal County Council,018903899,Karl Breen,info@swordseducatetogether.ie,K67H0F6,N,N,N,No subjects through Irish,Multi Denominational,188,254,442
20152L,NORTH DUBLIN MUSLIM NS PROJECT,Ratoath Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018689587,Eoin Walsh,info@ndmns.com,D07P967,N,N,N,No subjects through Irish,Muslim,158,158,316
20161M,DONABATE/PORTRANE EDUCATE TOGETHER,Ballisk Common,Beaverstown Road,Donabate,Co. Dublin,Dublin,Fingal County Council,018434573,Maeve Corish,info@dpetns.ie,K36HX03,N,N,N,No subjects through Irish,Multi Denominational,192,262,454
20166W,GRIFFEEN VALLEY EDUCATE TOGETHER NS,Griffeen Glen Boulevard,Lucan,Co. Dublin,,Dublin,South Dublin County Council,016219819,Andrea Burke Khan,info@gvet.ie,K78YA07,N,N,N,No subjects through Irish,Multi Denominational,265,269,534
20168D,GLASNEVIN EDUCATE TOGETHER NS,Griffith Avenue,Glasmevim,Dublin 11,,Dublin,Dublin City Council,018572086,Roisin Conlon,scoilgetns@gmail.com,D11A2YT,N,N,N,No subjects through Irish,Multi Denominational,156,185,341
20173T,ST ANNES PRIMARY SCHOOL,Kilcarrig Avenue,Tallaght,Dublin 24,,Dublin,South Dublin County Council,014515850,Mary Cullen,stannesps@gmail.com,D24DHY5,N,Y,N,No subjects through Irish,Catholic,187,190,377
20176C,RUSH AND LUSK EDUCATE TOGETHER NS,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,Fingal County Council,018430525,Noel Reilly,office@ralet.ie,K45WC62,N,N,N,No subjects through Irish,Multi Denominational,210,243,453
20186F,CASTAHEANY EDUCATE TOGETHER NS,Ongar Village,Dublin 15,,,Dublin,Fingal County Council,016467484,Sheila Gaughan,castaheanyeducatetogether@gmail.com,D15AE61,N,Y,N,No subjects through Irish,Multi Denominational,204,201,405
20187H,DIVINE MERCY SENIOR NATIONAL SCHOOL,Balgaddy,Lucan,Co. Dublin,,Dublin,South Dublin County Council,014670689,Regina Halpin,dmbalgaddysns@gmail.com,K78A393,N,N,N,No subjects through Irish,Catholic,248,256,504
20190T,HOLY TRINITY NATIONAL SCHOOL,Glencairn,Leopardstown,Dublin 18,,Dublin,Dun Laoghaire Rathdown,012063664,James Tobin,office@holytrinity.ie,D18YV91,N,N,N,No subjects through Irish,Catholic,250,328,578
20194E,St. John the Evangelist National School,Station Road,Adamstown Castle,Co. Dublin,,Dublin,South Dublin County Council,016540358,Anthony McGinley,office@stjohntheevangelistns.com,K78P212,N,N,N,No subjects through Irish,Catholic,207,189,396
20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,Fingal County Council,018272172,Tim Stapleton,info@tetns.ie,D15X938,N,N,N,No subjects through Irish,Multi Denominational,301,274,575
20202A,BALBRIGGAN EDUCATE TOGETHER NS,Hamlet Lane,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,016904635,Fintan McCutcheon,balbrigganetns@eircom.net,K32NT02,N,Y,N,No subjects through Irish,Multi Denominational,200,201,401
20218P,St Columbanus National School,Loughlinstown Drive,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,012821220,Peter McCabe,officestcolumbanusns@gmail.com,A96X0D1,N,Y,N,No subjects through Irish,Catholic,51,57,108
20220C,GAELSCOIL UI EARCAIN,Bóthar Ghlas an Éin,Fionnghlas,Baile Átha Cliath 11,,Dublin,Dublin City Council,018643544,Leah Ní Mhaoláin,eolas@gsue.ie,D11VP44,N,Y,N,All subjects through Irish,Catholic,158,186,344
20223I,GAELSCOIL EISCIR RIADA,Bóthar an Ghrifín,Leamhcán,Co. Átha Cliath,,Dublin,South Dublin County Council,016210342,Damhnait Uí Ruairc,gaelscoil_eiscirriada@yahoo.ie,K78YX77,N,N,N,All subjects through Irish,Catholic,228,229,457
20231H,ST BENEDICTS NATIONAL SCHOOL,Ongar,Dublin 15,,,Dublin,Fingal County Council,016403011,Padraic Flesk,office.stbenedicts@gmail.com,D15PY61,N,N,N,No subjects through Irish,Catholic,342,314,656
20241K,Scoil Choilm Community NS,Porterstown Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,018213352,Treasa Lowe,scoilchoilm@sccns.ie,D15X582,N,Y,N,No subjects through Irish,Multi Denominational,414,461,875
20247W,Scoil Ghrainne Community National School,Phibblestown,Clonee,Dublin 15,,Dublin,Fingal County Council,016402418,Kenneth Scully,s.ghrainne@gmail.com,D15Y5PR,N,N,N,No subjects through Irish,Multi Denominational,313,350,663
20252P,GAELSCOIL BHAILE BRIGIN,Fearann an Chaisleáin,Baile Brigín,Co. Átha Cliath,,Dublin,Fingal County Council,018416036,Clodagh Ní Mhaoilchiaráin,oifig@gsbhailebrigin.ie,K32YT18,N,N,N,All subjects through Irish,Inter Denominational,247,223,470
20268H,Adamstown Castle Educate Together National School,Station Road,Adamstown,Co. Dublin,,Dublin,South Dublin County Council,016540088,Thomas Moriarty,office@acetns.ie,K78KT91,N,N,N,No subjects through Irish,Multi Denominational,210,228,438
20269J,Scoil Chormaic,Scoil Chormaic CNS,Stephenstown,Balbriggan,Co Dublin,Dublin,Fingal County Council,018416948,Deirdre Corcoran,scoilchormaiccns@ddletb.ie,K32AX94,N,N,N,No subjects through Irish,Multi Denominational,282,272,554
20274C,Esker Educate Together N.S.,The Glebe,Esker Lane,Lucan,Co. Dublin,Dublin,South Dublin County Council,016241462,Colette Kavanagh,office@eskeretns.ie,K78N239,N,Y,N,No subjects through Irish,Multi Denominational,179,234,413
20281W,St Benedicts and St Marys National School,Grange Park,Raheny,Dublin 5,,Dublin,Dublin City Council,018470202,Jennifer Plunkett,stbenedictsandstmarys@live.ie,D05K4N2,N,Y,N,Some subjects through Irish,Catholic,77,64,141
20282B,Bracken Educate Together N.S.,Castlelands,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,018496850,Marian Griffin,info@brackenetns.com,K32YE94,N,Y,N,No subjects through Irish,Multi Denominational,196,207,403
20302E,Thornleigh Educate Together National School,Thornleigh Green,Applewood Village,Swords,Co. Dublin,Dublin,Fingal County Council,018074969,Paula Carolan,office@thornleighet.com,K67PH68,N,Y,N,No subjects through Irish,Multi Denominational,186,169,355
20303G,Lucan East ETNS,Kishogue Cross,Off Griffeen Avenue,Lucan,County Dublin,Dublin,South Dublin County Council,016212690,Grainne McManus,secretary@lucaneastet.ie,K78FA37,N,Y,N,No subjects through Irish,Multi Denominational,200,232,432
20304I,St. Francis of Assisi National School,Belmayne Avenue,Balgriffin,Dublin 13,,Dublin,Dublin City Council,018296007,Assumpta Kerins,office@stfrancispsbelmayne.com,D13P5VY,N,N,N,No subjects through Irish,Catholic,229,226,455
20307O,Skerries Educate Together National School,Kellys Bay,Skerries,Co. Dublin,,Dublin,Fingal County Council,018494050,Tomás Hickey,admin@skerrieseducatetogether.ie,K34CX46,N,Y,N,No subjects through Irish,Multi Denominational,175,195,370
20308Q,Belmayne Educate Together National School,Belmayne Avenue,Dublin 13,,,Dublin,Dublin City Council,018296980,Sinéad O'Meara,office@belmayne-etns.ie,D13DA58,N,Y,N,No subjects through Irish,Multi Denominational,221,216,437
20309S,Mary Mother of Hope Junior National School,St Charles Houben Building,Littlepace,Clonee,Dublin 15,Dublin,Fingal County Council,016405655,Alma Moran,info@hopejns.ie,D15TA49,N,N,N,No subjects through Irish,Catholic,189,253,442
20334R,Gaelscoil Ros Eo,Gaelscoil Ros Eo,CLG Naomh Maur,Ros Eo,Co. Bhaile Átha Cliath,Dublin,Fingal County Council,018949767,TIM Ó TUACHAIGH,priomhoide@gaelscoilroseo.com,K56C867,N,N,N,All subjects through Irish,Multi Denominational,106,110,216
20338C,Holy Child National School,Larkhill Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,018375870,Sarah Reilly,office@holychildns.ie,D09YR59,N,N,N,No subjects through Irish,Catholic,322,84,406
20348F,Holywell Educate Together National School,Holywell Road,Nevinstown,Swords,Co. Dublin,Dublin,Fingal County Council,014444386,Maria Boyne,principal@holywelletns.ie,K67AP99,N,N,N,No subjects through Irish,Multi Denominational,317,360,677
20383H,Hansfield Educate Together National School,Barnwell Road,Hansfield,Dublin 15,,Dublin,Fingal County Council,018614720,Fergal Collins,fergalcollinsprincipal@gmail.com,D15H1FC,N,N,N,No subjects through Irish,Multi Denominational,286,342,628
20384J,Powerstown Educate Together National School,Powerstown Road,Tyrrelstown,Dublin 15,,Dublin,Fingal County Council,018272018,Aoife McGonigle,info@powerstownet.com,D15VR80,N,N,N,No subjects through Irish,Multi Denominational,142,175,317
20392I,Pelletstown ETNS,"Ashtown Road,",Rathborne,Dublin 15,,Dublin,Dublin City Council,0874483613,Caitríona Ní Cheallaigh,pelletstownetns@gmail.com,D15W571,N,N,N,No subjects through Irish,Multi Denominational,130,130,260
20394M,Gaelscoil an Chuilinn,Bóthar Bhaile an Phaoraigh,Baile an Tirialaigh,Baile Átha Cliath 15,,Dublin,Fingal County Council,018262022,Fergus Ó Conghaile,runai@gsch.ie,D15WR86,N,N,N,All subjects through Irish,Inter Denominational,149,143,292
20397S,St Louise de Marillac Primary School,Drumfinn Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,016234153,Alma Quinn,admin@stlouises.scoilnet.ie,D10KT99,N,Y,N,No subjects through Irish,Catholic,291,21,312
20398U,Citywest & Saggart Community National School,Fortunestown Lane,Citywest,Dublin 24,,Dublin,South Dublin County Council,014133080,Mike Byrne,cscns@ddletb.ie,D24R920,N,N,N,No subjects through Irish,Multi Denominational,192,222,414
20400E,Ballinteer Educate Together National School,Notre Dame Campus,Upper Churchtown Road,Churchtown,Dublin 14,Dublin,Dun Laoghaire Rathdown,012963017,Orla Mc Carthy (Acting),info@ballinteeretns.ie,D14Y563,N,N,N,No subjects through Irish,Multi Denominational,177,213,390
20401G,Stepaside Educate Together National School,Belarmine Vale,Stepaside,Dublin 18,,Dublin,Dun Laoghaire Rathdown,012946753,Anne Carroll,info@stepasideetns.ie,D18H7W6,N,N,N,No subjects through Irish,Multi Denominational,138,199,337
20402I,City West Educate Together National School,Fortunestown Lane,Citywest,Dublin 24,,Dublin,South Dublin County Council,014035906,Caitriona Hand,Info@citywestetns.ie,D24TR94,N,N,N,No subjects through Irish,Multi Denominational,168,216,384
20411J,Firhouse Educate Together National School,Ballycullen Drive,Firhouse,Dublin 24,,Dublin,South Dublin County Council,014061010,Collette Dunne,info@firhouseetns.ie,D24FW9Y,N,N,N,No subjects through Irish,Multi Denominational,130,158,288
20412L,Gaelscoil na Giúise,Céide Bhaile Uí Chuilinn,Teach na Giúise,Baile Átha Cliath,D24 W682,Dublin,South Dublin County Council,014954064,Cuán Ó Flatharta,oifig@gaelscoilnagiuise.ie,D24W682,N,N,N,All subjects through Irish,Multi Denominational,85,85,170
20422O,Scoil Aoife CNS,Citywest Drive,Citywest,Dublin 24,,Dublin,South Dublin County Council,014215104,Stacey McAuley,tinacurran@sacns.ie,D24EE3V,N,Y,N,No subjects through Irish,Multi Denominational,99,116,215
20425U,Gaelscoil Shliabh Rua,Bóthar Bhaile Uí Ógáin,BÁC 18,Baile Átha Cliath 18,,Dublin,Dun Laoghaire Rathdown,012958589,Ruth Mhic Adaim,oifig@gsr.ie,D18K0EN,N,N,N,All subjects through Irish,Multi Denominational,120,116,236
20426W,Lucan Community National School,Balgaddy Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,014570432,Claire Downes,info@lucancns.ie,K78TF76,N,N,N,No subjects through Irish,Multi Denominational,103,120,223
20429F,ST. JAMES'S PRIMARY SCHOOL,Basin Lane,James' Street,Dublin 8,,Dublin,Dublin City Council,014548461,Noreen Flynn,saintjamessps@gmail.com,D08EC96,N,Y,N,No subjects through Irish,Catholic,126,125,251
20430N,Canal Way Educate Together National School,Basin Street Upper,Dublin 8,,,Dublin,Dublin City Council,014021418,Dermot Stanley,office@canalwayetns.org,D08K338,N,N,N,No subjects through Irish,Multi Denominational,135,182,317
20436C,St Mary's Primary School,Dorset Street Upper,Dublin 7,,,Dublin,Dublin City Council,018300841,Eadaoin Kelly,office@stmarysprimaryschool.ie,D07HF10,N,Y,N,No subjects through Irish,Catholic,124,119,243
20437E,St Laurence's National School,Brookstone Road,Baldoyle,Dublin 13,,Dublin,Dublin City Council,018326782,Clare Finnerty,info@stlaurencesbaldoyle.org,D13C924,N,N,N,No subjects through Irish,Catholic,227,238,465
20441S,Shellybanks Educate Together National School,Roslyn Park,Seafort Avenue,Sandymount,Dublin 4,Dublin,South Dublin County Council,0879667892,Johanne Dunne,info@shellybanksetns.ie,D04F8P5,N,N,N,No subjects through Irish,Multi Denominational,131,146,277
20445D,Malahide / Portmarnock Educate Together National School,Malahide Road,Dublin 17,,,Dublin,Fingal County Council,018455956,Emer Hoy,info@mpetns.ie,D17DR97,N,N,N,No subjects through Irish,Multi Denominational,130,130,260
20450T,Assumption Junior School,Sisters of Charity,Walkinstown,Dublin 12,,Dublin,Dublin City Council,014507613,Jean Leonard,principal@assumptionjns.com,D12EH70,N,N,N,No subjects through Irish,Catholic,213,188,401
20453C,Broombridge Educate Together National School,Bannow Road,Cabra,Dublin 7,,Dublin,Dublin City Council,018682650,Eibh Ní Mhordha,broombridgeetns@gmail.com,D07TD93,N,N,N,No subjects through Irish,Multi Denominational,50,69,119
20463F,Holy Spirit Junior Primary School,Limekiln Lane,Greenhills,Dublin 12,,Dublin,South Dublin County Council,014569173,Fionnuala Redmond,holyspiritjps@gmail.com,D12V880,N,Y,N,No subjects through Irish,Catholic,125,126,251
20464H,Holy Spirit Senior Primary School,Limekiln Lane,Greenhills,Dublin 12,,Dublin,Dublin City Council,014506019,Elizabeth Murray,principalholyspiritgreenhills@gmail.com,D12AY63,N,Y,N,No subjects through Irish,Catholic,198,122,320
20468P,St Dominic's National School,Mountain Park,Tallaght,Dublin 24,,Dublin,South Dublin County Council,014512443,Seamus Vaughan,secretary@stdominicsns.ie,D24P7XC,N,Y,N,No subjects through Irish,Catholic,173,192,365
20486R,Grace Park Educate Together National School,DCU All Hallows Campus,Grace Park Road,Drumcondra,Dublin 9,Dublin,Dublin City Council,0851368422,Marcus Wynne / Caroline Mee Acting Principal,info@graceparketns.com,D09KDW4,N,N,N,No subjects through Irish,Multi Denominational,80,102,182
20487T,Gaelscoil na Fuinseoige,Páirc Finsbury,Baile an Teampaill,BÁC 14,,Dublin,Dun Laoghaire Rathdown,012989851,Aisling Uí Fhéich,oifig@gsnafuinseoige.ie,D14N960,N,N,N,All subjects through Irish,Multi Denominational,68,72,140
20488V,Scoil Úna Naofa,Armagh Road,Crumlin,Dublin 12,,Dublin,Dublin City Council,014555127,Adrienne Ní Cheallaigh,scoilunanaofa@gmail.com,D12W524,N,Y,N,No subjects through Irish,Catholic,207,205,412
20494Q,Riverview Educate Together National School,Limekiln Road,Greenhills,Dublin 12,,Dublin,South Dublin County Council,014604468,Margaret Burke,rvetns@gmail.com,D12VY8A,N,N,N,No subjects through Irish,Multi Denominational,50,69,119
20501K,Harcourt Terrace Educate Together National School,151-153 Harold's Cross Road,Harold's Cross,Dublin 6W,,Dublin,Dublin City Council,0867768394,Niamh Cullen,info@harcourtterrace.com,D6WHP44,N,N,N,No subjects through Irish,Multi Denominational,11,20,31
20502M,Scoil Sinead NS,Scoil Sinead Pelletstown,"Patrician College Campus,","Deanstown,","Finglas,",Dublin,Dublin City Council,0861453205,Marianne Henry,principal@scoilsinead.ie,D11HN88,N,N,N,No subjects through Irish,Multi Denominational,8,22,30
20503O,Dun Laoghaire ETNS,C/O The Red Door School,Monkstown Grove,Monkstown Avenue,Co. Dublin,Dublin,Dun Laoghaire Rathdown,0864667017,Anne Marie Lillis,principal.dunlaoghaireetns@gmail.com,A94D3H7,N,N,N,No subjects through Irish,Multi Denominational,33,29,62
20507W,St Laurence O'Toole's National School,"St. Laurence Place East,","Seville Place,",Dublin 1,,Dublin,Dublin City Council,018364577,Mona Lucas,office@stlaurenceotoolesns.ie,,N,Y,N,No subjects through Irish,Catholic,117,46,163
20509D,Lusk Junior National School St Maccullins,Chapel Road,Lusk,Co. Dublin,,Dublin,Fingal County Council,018709242,Orfhlaith Clarke,office@luskjns.ie,,N,N,N,No subjects through Irish,Catholic,222,219,441
20517C,Drumcondra Marino Dublin 1 gaelscoil,"Bóthar Naomh Mobhí,","Droim Conrach,",,,Dublin,Dublin City Council,018377941,Niamh Nic Dhiarmada,gaelscoilaine@gmail.com,D09XP65,N,N,N,All subjects through Irish,Multi Denominational,8,8,16
20518E,Gaelscoil Laighean,Lána na Cille,Cill na Gráinsí,An Charraig Dhubh,Co. Bhaile Átha Cliath,Dublin,Dun Laoghaire Rathdown,0858036710,Aoife Ní Scolaí,gslaighean@gmail.com,A94FC44,N,N,N,All subjects through Irish,Multi Denominational,10,2,12
20519G,Stapolin Educate Together National School,Grange Abbey Road,Donaghmede,,,Dublin,Dublin City Council,0868374715,Clodagh Farrell,d13etns@gmail.com,D13NX25,N,N,N,No subjects through Irish,Multi Denominational,8,11,19
20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,151/153 Harold's Cross Road,Dublin 6w,,,Dublin,Dublin City Council,0863471806,Cian Gleeson,principal.haroldscrossetns@gmail.com,D6WHP44,N,N,N,No subjects through Irish,Multi Denominational,6,6,12
20523U,Goatstown Stillorgan Primary School,Grafton House,Ballymoss Road,Sandyford Industrial Estate,D. 18,Dublin,Dun Laoghaire Rathdown,0873878592,Diane Devereux,info@goatstownstillorganetns.com,D18P274,N,N,N,No subjects through Irish,Multi Denominational,2,6,8
20525B,Killester Raheny Clontarf Educate Together National School,Killester Raheny Clontarf ETNS,C/O Suttonians RFC,Station Road,Dublin 13,Dublin,Dublin City Council,0868550965,Níamh O'Toole,info.krcetns@gmail.com,D13C3K8,N,N,N,No subjects through Irish,Multi Denominational,3,4,7
20528H,River Valley CNS,Swords South,Dublin,,,Dublin,Fingal County Council,0858705523,Anne McArdle,info@rivervalleycns.ie,,N,N,N,No subjects through Irish,Multi Denominational,9,6,15
20545H,St Christopher's NS,Haddington Road,Ballsbridge,Dublin 4,,Dublin,Dublin City Council,016681155,Annemarie Hogan,principal@scps.ie,D04FP20,N,Y,N,Some subjects through Irish,Catholic,318,308,626
